subtitle,author,url,text,section,title,date
None,Sem autor,https://www.oantagonista.com/brasil/o-poste-na-estrada/,"Fernando Haddad vai voltar a rodar o país gritando “Lula livre” e atacando Jair Bolsonaro.Segundo o UOL, a primeira etapa da agenda começa hoje, com uma viagem de três dias pela região Sul.O poste chegará a Curitiba no domingo, quando seu criador completará 1 ano na cadeia.",Brasil,O poste na estrada,05/04/2019 11:29:50
None,Sem autor,https://www.oantagonista.com/brasil/gilmar-leva-brasilia-a-lisboa/,"Entre os dias 22 e 24 de abril, após a Páscoa, o IDP de Gilmar Mendes vai realizar um fórum jurídico em Lisboa.Segundo Lauro Jardim, participarão, por exemplo, Dias Toffoli, Alexandre de Moraes, João Otávio de Noronha, Sergio Moro, Rogério Marinho, Davi Alcolumbre e Rodrigo Maia.",Brasil,Gilmar leva Brasília a Lisboa,05/04/2019 11:01:09
None,Sem autor,https://www.oantagonista.com/brasil/guedes-aplaudido-de-pe/,Paulo Guedes acaba de ser aplaudido de pé no evento do Lide em Campos do Jordão.,Brasil,Guedes aplaudido de pé,05/04/2019 11:23:40
None,Sem autor,https://www.oantagonista.com/brasil/novo-vai-cavando-espaco/,"Por pouco, a relatoria da reforma da Previdência na CCJ da Câmara não ficou com o Novo.Agora, o deputado do partido Vinicius Poit é cotado para relatar a proposta na comissão especial, a próxima etapa da tramitação.",Brasil,Novo vai cavando espaço,05/04/2019 11:39:11
None,Sem autor,https://www.oantagonista.com/brasil/o-brasil-virou-o-pais-da-cabeca-socialista/,"No encontro do Lide, em Campos do Jordão, o ministro do Meio Ambiente, Ricardo Salles, comentou o seguinte ao dizer que o governo de Jair Bolsonaro tenta “trazer à tona a racionalidade” ao combater a mentalidade de que, por exemplo, privatizações e flexibilizações na lei ambiental são algo negativo.“O Brasil virou o país da cabeça socialista, em que o Estado tem que cuidar de tudo e o capital privado é o bandido que quer explorar.”E mais:“Vivemos no Brasil a consequência de uma agenda ideológica, que fez essa mentalidade permear o Estado brasileiro todo.”",Brasil,“O Brasil virou o país da cabeça socialista”,05/04/2019 10:57:10
None,Sem autor,https://www.oantagonista.com/brasil/bolsonaro-sobre-encontro-com-dirigentes-partidarios-nao-foi-falada-a-palavra-cargo/,Jair Bolsonaro também disse no café da manhã com jornalistas que os dirigentes partidários estão entendendo a nova articulação política.“Não foi falada a palavra cargo ontem.”,Brasil,Bolsonaro sobre encontro com dirigentes partidários: “Não foi falada a palavra cargo”,05/04/2019 10:43:56
None,Sem autor,https://www.oantagonista.com/brasil/velez-diz-que-nao-vai-entregar-o-cargo/,Ricardo Vélez está no encontro do Lide em Campos do Jordão.Ele acaba de dizer a jornalistas que não falou hoje com Jair Bolsonaro e que não vai entregar o cargo.O ainda ministro da Educação acrescentou que “a única coisa insustentável é a morte”.,Brasil,Vélez diz que não vai entregar o cargo,05/04/2019 10:46:12
None,Diego Amorim,https://www.oantagonista.com/brasil/se-o-pacote-anticrime-for-aprovado-pode-dar-adeus-para-a-sua-familia/,"O senador Marcos do Val, que vai relatar a parte do pacote anticrime de Sergio Moro que trata de mudanças no Código Penal, voltou a ser ameaçado.Ele enviou a  as novas mensagens que recebeu há pouco por meio de email apócrifo (o senador retirou apenas as informações pessoais da irmã).Nesta semana, depois de receber , o parlamentar do PPS do Espírito Santo registrou boletim de ocorrência na Polícia do Senado e comunicou o ocorrido ao Ministério da Justiça.Nas mensagens de hoje, o mesmo remetente deixa claro os motivos das ameaças.Veja: ",Brasil,"“Se o pacote anticrime for aprovado, pode dar adeus para a sua família”",05/04/2019 11:06:40
None,Renan Ramalho,https://www.oantagonista.com/economia/agu-quer-desistir-de-metade-dos-recursos-no-stj-contra-concessao-de-aposentadorias/,A Advocacia-Geral da União pretende desistir de até 50% dos recursos apresentados em favor do INSS no Superior Tribunal de Justiça que questionam a concessão de aposentadorias.,Economia,AGU quer desistir de metade dos recursos no STJ contra concessão de aposentadorias,05/04/2019 11:28:37
None,Sem autor,https://www.oantagonista.com/brasil/esta-quase-certo/,"Jair Bolsonaro disse, no café da manhã com jornalistas, que “está quase certo” que o horário de verão vai acabar.",Brasil,“Está quase certo”,05/04/2019 10:54:24
None,Sem autor,https://www.oantagonista.com/brasil/ele-disse-que-errou/,"Paulo Guedes vai tentar se controlar mais nos próximos embates com parlamentares.O senador Jorge Kajuru disse ao Estadão depois de se reunir com o ministro:“Ele disse que errou e que não devia ter respondido e que a partir de agora não vai mais fazer isso. Disse que já estava preparado para as ofensas, só não imaginava o nível.”",Brasil,“Ele disse que errou”,05/04/2019 10:24:24
None,Sem autor,https://www.oantagonista.com/brasil/um-ministro-sendo-desrespeitado-e-reagindo/,"No encontro do Lide em Campos do Jordão, Rodrigo Maia comentou a atuação de Paulo Guedes na CCJ da Câmara na última quarta-feira.O presidente da Câmara disse ao Estadão:“Tem muita gente jovem, muita gente começando. [A base] não se organizou da melhor forma, do meu ponto de vista. Mas não adianta olhar para trás. Temos que olhar para a frente. Quando o ministro for para a comissão especial, vamos deixar claro que queremos ouvi-lo sobre Previdência. Um debate de alto nível. A imagem que ficou foi ruim para o Brasil: um ministro sendo desrespeitado e reagindo depois de 8 horas. Não foi bom para o parlamento, nem para o Brasil. Aprendemos sempre com nossos erros. O erro é sempre coletivo.”",Brasil,“Um ministro sendo desrespeitado e reagindo”,05/04/2019 10:29:23
None,Sem autor,https://www.oantagonista.com/economia/fuga-para-o-paraguai/,"No evento do Lide de João Doria, em Campos do Jordão, empresários comentam nos bastidores que “está muito melhor para investir no Paraguai”, onde custo e burocracia são menores do que no Brasil.Quem já está com um pé no país vizinho é o empresário Flávio Rocha, da Riachuelo.",Economia,A fuga para o Paraguai,05/04/2019 10:13:42
None,Sem autor,https://www.oantagonista.com/brasil/bolsonaro-encerra-casamento-com-velez/,"O noivado de Jair Bolsonaro com Vélez Rodríguez acabou.O presidente disse hoje para jornalistas reunidos no Palácio do Planalto:“Está bastante claro que não está dando certo o ministro Vélez. Na segunda-feira, vamos tirar a aliança da mão direita, ou vai para a esquerda ou vai para a gaveta”",Brasil,Bolsonaro encerra noivado com Vélez,05/04/2019 10:16:05
None,Sem autor,https://www.oantagonista.com/brasil/gleisi-no-pulpito/,"O PT tenta fazer as pazes com os evangélicos.O partido realiza hoje e amanhã, em São Paulo, o 1º Encontro de Evangélicos.A Folha de S. Paulo registra que Gleisi Hoffmann, Benedita da Silva e João Pedro Stédile vão discursar.",Brasil,Gleisi no púlpito,05/04/2019 10:38:04
None,Sem autor,https://www.oantagonista.com/economia/salario-minimo-sem-aumento-real-2/,"Jair Bolsonaro quer que o salário mínimo seja corrigido apenas pela inflação, sem aumento real.O Globo diz que, segundo estimativas da equipe econômica, “o impacto positivo no próximo ano pode chegar a 7,6 bilhões de reais”. ",Economia,Salário mínimo sem aumento real,05/04/2019 09:45:44
None,Sem autor,https://www.oantagonista.com/brasil/exercito-robotizado/,"Um levantamento da NetLab, feito a pedido da Veja, concluiu que, “dos vinte campeões de postagens pró-Bolsonaro no Twitter, seis eram claramente robôs e outros nove apresentavam movimentação altamente suspeita.O exército robotizado faz as postagens de Bolsonaro chegar a um público maior do que os seus 26,9 milhões de seguidores nas redes sociais”.",Brasil,Exército robotizado,05/04/2019 09:39:07
None,Sem autor,https://www.oantagonista.com/brasil/quem-pode-soltar-lula/,"Quem pode soltar Lula?A  conta que a rádio-corredor dos ministros do STJ registra que é grande a pressão sobre os ombros do ministro Reynaldo Soares da Fonseca, um dos cinco integrantes da turma que julgará o recurso que pode tirar Lula da cadeia.Leia a nota completa .",Brasil,Quem pode soltar Lula?,05/04/2019 09:53:27
None,Sem autor,https://www.oantagonista.com/economia/reforma-reforma-e-reforma/,"No evento do Lide de João Doria em Campos de Jordão, só se fala na reforma da Previdência.Nos bastidores, empresários temem o tamanho da desidratação da proposta pelo Congresso e comentam o que consideram “erros de condução” na articulação política.Os ministros Paulo Guedes, Ricardo Vélez e Ricardo Salles participam hoje da programação. Rodrigo Maia e Davi Alcolumbre, além de cinco governadores, também vão estar presentes ao longo do evento.",Economia,"Reforma, reforma e reforma",05/04/2019 10:06:23
None,Sem autor,https://www.oantagonista.com/brasil/a-farra-do-boi/,"A PF grampeou Joesley Batista no dia do triunfo eleitoral de Dilma Rousseff, em 2014.A  obteve esses grampos inéditos.Joesley Batista e Ricardo Saud comemoram o resultado com Michel Temer, Fernando Pimentel, Eduardo Cunha, Henrique Meirelles e com o assessor de Edinho Silva.A reportagem da , com os áudios dos protagonistas, revelam a promiscuidade da JBS com o poder.Leia – e escute – . ",Brasil,A farra do boi,05/04/2019 08:33:04
None,Sem autor,https://www.oantagonista.com/brasil/o-aprendiz-3/,João Doria disse para o Valor que o PSDB não será mais um “depósito de derrotados” nem de “desempregados”.Ele rejeitou também a proposta de “rodízio” no comando do partido e avisou que “quem tem voto” mandará na sigla.,Brasil,O Aprendiz,05/04/2019 08:55:36
